name,price,description,brand,page,url,price_numeric,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
Accent 308,EGP 89.00,"Get the full look with Ardell Lash Accent 308. These lashes have a light volume and medium length, featuring a flared shape that adds a cute and cat-eyed effect. They effortlessly complement any ...",Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,89.0,,4.48863636973214,-1.9683046514166218,1,1,1,1,0
Accent 311,EGP 89.00,Experience a blend of elegance and flirtation with Ardell's Accent 311. These lashes add a touch of sensational style to your lash line. With light volume and medium-length fibers on delicate ...,Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,89.0,,4.48863636973214,-1.9683046514166218,1,1,1,1,0
Cheek Tint,EGP 125.00,"Add a subtle glow to your routine with Orglam's Red Cheek Tint, offering up to 24 hours of vibrant color. Infused with nourishing aloe vera, this formula hydrates while delivering a flawless, ...",Orglam,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,125.0,,4.8283137373023015,-1.3257942062219343,1,1,3,3,0
Eye Brow Mascara,EGP 90.00,"Enhance and define your brows effortlessly with Ciao Cosmetics' Eye Brow Mascara. Its precision brush coats each hair for a natural, fuller look. The long-lasting, smudge-proof formula keeps your ...",Ciao Cosmetics,12,https://sourcebeauty.com/collections/makeup?tab=products&page=12,90.0,,4.499809670330265,-1.9471700012250317,1,1,1,1,0
Eyebrow Pencil,EGP 138.00,"Achieve flawless and natural-looking brows effortlessly with Luna's eyebrow pencil. It is designed to be easy to use, ensuring a hassle-free application without any mistakes. It helps you create ...",Luna,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,138.0,,4.927253685157205,-1.1386461769065501,1,1,3,3,0
Eyebrow Powder,EGP 143.00,"Achieve fuller, thicker, and defined brows effortlessly with this amazing Eyebrow Powder from Luna. A water resistant formula that provides a long lasting effect that lasts throughout the day. ...",Luna,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,143.0,,4.962844630259907,-1.0713247826481784,1,1,3,3,0
Eyeshadow,EGP 138.00,Discover the Eye Shadow Ultra Fine Powder from Luna and indulge in the luxurious feel of it's silky texture that smoothly glides over your eyes. A special formula that is designed to provide a ...,Luna,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,138.0,,4.927253685157205,-1.1386461769065501,1,1,3,3,0
Fard blusher,EGP 90.03,Get a radiant and natural flush with Ciao Cosmetics' Fard Blusher. Its velvety texture blends seamlessly for a flawless finish. Choose from a range of flattering shades for a custom look. This ...,Ciao Cosmetics,12,https://sourcebeauty.com/collections/makeup?tab=products&page=12,90.03,,4.500142948120385,-1.9465395957822569,1,1,1,1,0
Flawless Finish Concealer,EGP 120.00,"Introducing Ciao's liquid concealer, which offers a gentle and effortless application. This concealer is designed to provide long-lasting coverage for dark circles and imperfections. It contains ...",Ciao Cosmetics,12,https://sourcebeauty.com/collections/makeup?tab=products&page=12,120.0,,4.787491742782046,-1.4030102953024852,1,1,3,3,0
Glamour 138,EGP 90.00,Hello Beautiful! Are you in search of the perfect addition to complete your #OOTD? Give Ardell's Glamour 138 false lashes a try and witness how they can effortlessly enhance your new look with an ...,Ardell,14,https://sourcebeauty.com/collections/makeup?tab=products&page=14,90.0,,4.499809670330265,-1.9471700012250317,1,1,1,1,0
Highlighter Stick,EGP 85.00,The Highlighter Stick from Orglam can be used alone or mixed into other products like foundations and moisturizers. It is lightweight and suitable for all skin types. The formula can be applied on ...,Orglam,12,https://sourcebeauty.com/collections/makeup?tab=products&page=12,85.0,,4.442651256490317,-2.0552869422671565,1,1,1,1,0
Hot Lash Plus Mascara,EGP 150.00,"Introducing Hot Lash Plus Mascara, the perfect way to get thick and voluminous lashes in any weather. This unique formula gives your lashes an intense boost of volume, while still providing a ...",Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,150.0,,5.0106352940962555,-0.9809272359488108,1,1,3,3,0
Inner Eye Brightening Pen,EGP 100.00,"Brighten up tired eyes with the Inner Eye Brightening Pen. This soft pink pencil glides on easily to highlight the waterline and inner corners, creating a fresh, wide-awake look in seconds. Its ...",Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,100.0,,4.605170185988092,-1.7478772655756087,1,1,1,1,0
Iridescent Highlighter,EGP 150.00,"Introducing the liridescent Highlighter, a versatile product that enhances your everyday look with a radiant and mesmerizing shimmer. This luminous touch captures and reflects light, elevating ...",Orglam,12,https://sourcebeauty.com/collections/makeup?tab=products&page=12,150.0,,5.0106352940962555,-0.9809272359488108,1,1,3,3,0
Kajal Eye Liner,EGP 121.00,"Introducing the Soft Kajal Eye Liner, a long-lasting eyeliner that offers a smooth and creamy formula. With its high-intensity color, it delivers an instant impact that lasts all day.",Luna,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,121.0,,4.795790545596741,-1.3873128482538484,1,1,3,3,0
Kajal Pencil,EGP 100.00,"Define your eyes with bold color using the Kajal Pencil from Essence. Its soft, smooth texture glides on easily and blends effortlessly. It delivers striking definition and playful highlights ...",Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,100.0,,4.605170185988092,-1.7478772655756087,1,1,1,1,0
Last & Shine Nail Polish,EGP 80.00,Amanda's glossy and long-lasting nail polish is the perfect formula for a flawless manicure. This special formula creates a seamless and polished finish that will last for days. The unique blend ...,Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,80.0,,4.382026634673881,-2.1699603249292845,1,1,1,1,0
Lip Gloss,EGP 150.00,"Luscious, glossy lips are just one swipe away with Orglam's Lip Gloss. Its formula glides on like a dream, providing a brilliant glossy coat that makes your lips look irresistibly lush. Enriched ...",Orglam,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,150.0,,5.0106352940962555,-0.9809272359488108,1,1,3,3,0
Lip Gloss 04 - Orange,EGP 150.00,Get ready to shine with Glow-up Lip Gloss! This must-have lip gloss from the renowned brand Glow-up is designed to enhance your natural beauty and add a touch of glamour to your look.Available in ...,Glow-Up,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,150.0,,5.0106352940962555,-0.9809272359488108,1,1,3,3,0
Lip Liner,EGP 138.00,"Get ready for a world of girly goodness! Say hello to lips that stay fabulous all day long with flawless edges and a touch of magic. This little wonder is your go-to for shaping, lining, or ...",Luna,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,138.0,,4.927253685157205,-1.1386461769065501,1,1,3,3,0
Lipliner - 29,EGP 138.00,"Define your lips with precision and confidence. Luna's Lip Liner promises a long-lasting effect and clear outlines for a flawless finish. Whether you're shaping, lining, or filling, its ...",Luna,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,138.0,,4.927253685157205,-1.1386461769065501,1,1,3,3,0
Matte Studio Lip Fluid,EGP 120.00,"Introducing The Matte Studio Liquid Lipstick! This revolutionary lipstick provides an intense pigment with a bold matte finish in just one stroke. The formula is lightweight, yet long-wearing, so ...",Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,120.0,,4.787491742782046,-1.4030102953024852,1,1,3,3,0
