name,price,description,brand,page,url,price_numeric,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
3Dimension Volume Mascara,EGP 400.00,"Experience customizable lash volume with 3Dimension Volume Mascara. The adjustable formula reaches even the shortest lashes, adding length and fullness without clumping. Long-lasting and ...",Top Face,5,https://sourcebeauty.com/collections/makeup?tab=products&page=5,400.0,,5.991464547107982,0.8743422055230817,0,2,2,4,2
Acti-Solaire Melting Cream - Light Tinted,EGP 319.00,"Fortify your skin against the sun's harmful effects with Dermactive's Acti-Solaire Melting Cream. This sunscreen goes on smooth and disappears into your skin, providing long-lasting protection ...",Dermactive,10,https://sourcebeauty.com/collections/makeup?tab=products&page=10,319.0,,5.765191102784844,0.44633885490901765,0,2,0,4,2
Angled Brow Pencil,EGP 545.00,"Achieve fuller, perfectly shaped brows with the Angled Brow Pencil from Flormar. Its soft texture allows for easy application, while the automatic angled tip ensures precision. The built-in brush ...",Flormar,3,https://sourcebeauty.com/collections/makeup?tab=products&page=3,545.0,,6.300785794663244,1.4594330930808364,0,2,2,0,2
BB Cream Matte Finish,EGP 390.00,"Experience a flawless, smooth complexion with the Skin Editor BB Cream. Its unique formula reduces signs of aging, refreshes, and adjusts to your skin tone. SPF 15 protects against harmful UV rays ...",Top Face,5,https://sourcebeauty.com/collections/makeup?tab=products&page=5,390.0,,5.966146739123692,0.8264527738670869,0,2,2,4,2
Baked Blush On,EGP 607.60,"Add a natural flush to your cheeks with the Baked Blush-On from Flormar. Its highly pigmented formula brightens and refreshes your complexion, giving you an instant radiant glow. Suitable for all ...",Flormar,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,607.6,,6.409516770721618,1.6651011607930275,0,2,2,0,2
Blurring Gloss Bomb,EGP 450.00,"Indulge in rich, glossy lips with The Blurring Gloss Bomb. Infused with peptides, retinol, vitamin E, and SPF, this nourishing gloss hydrates and plumps while protecting your lips from UV rays. ...",Braes,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,450.0,,6.1092475827643655,1.0971325292273348,0,2,2,4,2
Blush On,EGP 420.00,"Enjoy a natural, radiant glow with the Baked Blush-On from Flormar. Its richly pigmented formula provides a bronzed effect that blends seamlessly into your skin, giving you a smooth, radiant ...",Flormar,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,420.0,,6.040254711277414,0.9666303386002689,0,2,2,4,2
Boost Up Volume & Lash Boost Mascara,EGP 440.00,Get fuller lashes instantly and longer ones over time with the Boost Up Volume & Lash Boost Mascara. This volume-boosting mascara is powered by Widelash™ and apricot kernel oil to strengthen ...,Catrice,4,https://sourcebeauty.com/collections/makeup?tab=products&page=4,440.0,,6.0867747269123065,1.0546244141839618,0,2,2,4,2
Boujee Eyeshadow Palette,EGP 389.88,"Elevate your look with the Technic Boujee 15 Shade Eyeshadow Palette. Featuring a blend of pressed glitters, foiled shimmers, and buttery matte shades, this palette offers a stunning mix of ...",Technic Cosmetics,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,389.88,,5.9658389994690095,0.8258706746122892,0,2,2,4,2
Bronze Cream - Tan Collection,EGP 330.00,"Get your glow with the Bronze Cream from Essentials, designed with a creamy texture to nourish your skin while adding a sun-kissed glow. It provides a warm, matte finish that enhances your skin ...",Essentials,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,330.0,,5.799092654460526,0.5104647082614154,0,2,2,4,2
