name,price,description,brand,page,url,price_numeric,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
20H Ultra Precision Gel Eye Pencil Waterproof,EGP 223.00,"Make your eyes pop with bold, metallic colour that lasts. The Ultra Precision Waterproof Gel Eye Pencil delivers intense rosy copper pigment in a smooth, glide-on formula. With a convenient ...",Catrice,4,https://sourcebeauty.com/collections/makeup?tab=products&page=4,223.0,,5.407171771460119,-0.23086599274760392,0,0,0,2,1
8H Matte Liquid Lipstick,EGP 250.00,"Enjoy a bold, matte look that lasts with the 8H Matte Liquid Lipstick from Essence. This quick-drying formula provides an intense, velvety matte finish that stays in place for up to 8 hours. ...",Essence,2,https://sourcebeauty.com/collections/makeup?tab=products&page=2,250.0,,5.521460917862246,-0.014684470672590065,0,0,0,2,1
Ageless Radiance Eye Concealer,EGP 299.00,"Experience brighter, more refreshed eyes with Cleajour's Ageless Radiance Eye Concealer. Enriched with postbiotics, this advanced formula is designed for puffed, dark, and tired-looking eye ...",Cleajour,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,299.0,,5.700443573390687,0.3238668626362225,0,0,0,2,1
Aqua Lashes - 341,EGP 237.00,"Enjoy a flawless look in seconds with Ardell's Aqua Lashes. These revolutionary lashes require no glue; simply use water to activate the pre-glued adhesive band. Lightweight and comfortable, they ...",Ardell,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,237.0,,5.4680601411351315,-0.11569372269934883,0,0,0,2,1
BAYEB Eyebrows Gel,EGP 269.00,"Achieve impeccably groomed and well-defined eyebrows effortlessly using the Bayeb Eyebrows Gel from DEOC Cosmetics. With just a single swipe, you can elevate your makeup game to the next level. ...",DEOC Cosmetics,12,https://sourcebeauty.com/collections/makeup?tab=products&page=12,269.0,,5.594711379601839,0.12387108608908035,0,0,0,2,1
BAYEB Hot Red Lip Gloss,EGP 249.00,"Turn up the heat with the BAYEB Hot Red Lip Gloss. This vibrant, high-shine gloss delivers intense color, hydration, and a glossy finish in just one swipe. Perfectly balancing bold red tones with ...",DEOC Cosmetics,6,https://sourcebeauty.com/collections/makeup?tab=products&page=6,249.0,,5.517452896464707,-0.02226576945297015,0,0,0,2,1
Bandana Pouch,EGP 169.00,"Source Beauty’s exclusive Beach Pouch makes summer packing so much easier. With plenty of space and a fabulous design that features a hand-embroidered heart, this beauty bag will carry all your ...",Source Beauty,9,https://sourcebeauty.com/collections/makeup?tab=products&page=9,169.0,,5.1298987149230735,-0.7553367170425068,1,0,3,3,1
Bayeb Lip Gloss,EGP 249.00,The DEOC Bayeb Lip Gloss is the perfect way to add a glossy touch to your daily makeup look. Its super shine formula will make your lips look luscious and full of life. The long-lasting formula ...,DEOC Cosmetics,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,249.0,,5.517452896464707,-0.02226576945297015,0,0,0,2,1
Bayeb Tint,EGP 229.00,"The Bayeb All-in-One Tint is a revolutionary product that can be used as an eyeshadow, blush, and lip color. With its intensely pigmented formula, this product provides a long-lasting, strong ...",DEOC Cosmetics,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,229.0,,5.43372200355424,-0.18064539204981836,0,0,0,2,1
Bronze Lip Tint & Stain,EGP 159.00,"Get your glow with Donna Natural's Bronze Lip Tint & Stain. This lightweight, waterproof formula offers a smudge-proof, kiss-proof finish that keeps your makeup intact all day. Enriched with ...",Donna Natural,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,159.0,,5.0689042022202315,-0.8707097599728434,1,0,3,3,1
Bronzing Powder,EGP 270.00,"Luna's bronzing powder provides a stunning shimmer to your skin, giving it a radiant glow. This bronzing powder is versatile and can be used on both the face and body. It also doubles as a ...",Luna,13,https://sourcebeauty.com/collections/makeup?tab=products&page=13,270.0,,5.598421958998375,0.13088976395111399,0,0,0,2,1
Brows For Life Brow Oil,EGP 191.25,"Favelin's Brows For Life is your go-to for thicker & healthier brows. A special formula that will help you grow thicker, fuller-looking eyebrows naturally with it's powerful blend of oils and ...",Favelin,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,191.25,,5.253581472706645,-0.5213868830135592,1,0,3,3,1
Clear Adhesive for Strip Lashes,EGP 300.00,"Keep your lashes secure and flawless all day with Ardell's Clear Adhesive for Strip Lashes. Water-resistant, sweatproof, and fitness-friendly, this long-lasting adhesive ensures your lashes stay ...",Ardell,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,300.0,,5.703782474656201,0.3301824996005352,0,0,0,2,1
Compact Powder,EGP 229.90,"Experience fresh, natural radiance with this Compact Powder from Luna, offering high coverage for flawless skin and a silky, velvety texture that leaves your skin feeling supple and smooth. ...",Luna,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,229.9,,5.437644431769136,-0.17322599547175135,0,0,0,2,1
Concealer,EGP 228.00,"Effectively conceal dark circles and puffiness with Azha Alba Med Concealer. This formula not only hides imperfections but also works to treat them gradually, leaving your under-eye area looking ...",Azha Med,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,228.0,,5.429345628954441,-0.18892344252038645,0,0,0,2,1
Cozy Gel Eyeliner,EGP 210.00,"Elevate your eye makeup game with Cybele's Cozy Eyeliner Gel! This waterproof and high coverage formula provides a long-lasting effect, effortlessly gliding on for vibrant color payoff. Keep your ...",Cybele,11,https://sourcebeauty.com/collections/makeup?tab=products&page=11,210.0,,5.3471075307174685,-0.3444793969490771,0,0,0,2,1
Cream Blush - Milky Collection,EGP 290.00,"Create a naturally radiant glow with the Cream Blush from Essentials, enriched with vitamin E to nourish your skin. Its buildable formula lets you layer for a soft, fresh blush or a more vibrant ...",Essentials,1,https://sourcebeauty.com/collections/makeup?tab=products&page=1,290.0,,5.66988092298052,0.26605664624813746,0,0,0,2,1
Dream Blusher,EGP 160.00,"Introducing Dream Blusher from Amanda, a creamy smooth powder formula for a silky-smooth finish. With its soft texture and lightweight formula, Dream Blusher is incredibly easy to blend, giving ...",Amanda Milano,15,https://sourcebeauty.com/collections/makeup?tab=products&page=15,160.0,,5.075173815233827,-0.8588505893799386,1,0,3,3,1
Eyebrow Pencil - 404 Black,EGP 205.00,"Achieve natural, defined brows with the Eyebrow Pencil from Flormar. The pencil fills in gaps for a smooth, even finish, while the brush on the cap helps shape your brows for a flawless, polished ...",Flormar,3,https://sourcebeauty.com/collections/makeup?tab=products&page=3,205.0,,5.3230099791384085,-0.3900606751599833,0,0,0,2,1
Fit Me 015 Fair Concealer,EGP 305.00,"Achieve natural, flawless coverage with the Fit Me 015 Fair Concealer. This oil-free formula conceals redness, blemishes, and imperfections, giving you a more even complexion. Suitable for all ...",Maybelline New York,8,https://sourcebeauty.com/collections/makeup?tab=products&page=8,305.0,,5.720311776607412,0.3614481951380405,0,0,0,2,1
Fit Me 10 Light Concealer,EGP 305.00,"Achieve natural, flawless coverage with the Fit Me 10 light Concealer. This oil-free formula conceals redness, blemishes, and imperfections, giving you a more even complexion. Suitable for all ...",Maybelline New York,6,https://sourcebeauty.com/collections/makeup?tab=products&page=6,305.0,,5.720311776607412,0.3614481951380405,0,0,0,2,1
Fit Me 20 Sand Concealer,EGP 305.06,"Achieve natural, flawless coverage with the Fit Me 20 Sand Concealer. This oil-free formula conceals redness, blemishes, and imperfections, giving you a more even complexion. Suitable for all skin ...",Maybelline New York,6,https://sourcebeauty.com/collections/makeup?tab=products&page=6,305.06,,5.720508478571787,0.3618202631024314,0,0,0,2,1
